time,P,G(i),H_sun,T2m,WS10m,Int
20150109:1710,0.0,0.0,0.0,11.45,5.79,0.0
20150109:1810,0.0,0.0,0.0,11.67,5.93,0.0
20150109:1910,0.0,0.0,0.0,11.7,7.17,0.0
20150109:2010,0.0,0.0,0.0,12.04,7.59,0.0
20150109:2110,0.0,0.0,0.0,12.28,7.66,0.0
20150109:2210,0.0,0.0,0.0,12.42,7.38,0.0
20150109:2310,0.0,0.0,0.0,12.38,7.1,0.0
20150110:0010,0.0,0.0,0.0,12.29,6.83,0.0
20150110:0110,0.0,0.0,0.0,12.15,6.55,0.0
20150110:0210,0.0,0.0,0.0,12.02,6.34,0.0
20150110:0310,0.0,0.0,0.0,11.88,6.21,0.0
20150110:0410,0.0,0.0,0.0,11.72,6.14,0.0
20150110:0510,0.0,0.0,0.0,11.56,6.14,0.0
20150110:0610,0.0,0.0,0.0,11.38,6.21,0.0
20150110:0710,0.0,0.0,0.0,10.79,6.76,0.0
20150110:0810,181.4,10.94,3.03,10.63,6.83,0.0
20150110:0910,4020.42,77.61,9.99,10.91,7.1,0.0
20150110:1010,6483.38,115.36,15.26,11.16,7.31,0.0
20150110:1110,8629.83,147.65,18.4,11.55,7.59,0.0
20150110:1210,20735.12,324.75,19.12,11.82,7.45,0.0
20150110:1310,6515.26,116.56,17.32,12.08,7.1,0.0
20150110:1410,2215.52,49.24,13.21,12.06,7.24,0.0
20150110:1510,1581.0,38.41,7.16,11.9,6.62,0.0
20150110:1610,0.0,0.0,0.0,11.75,6.14,0.0
20150110:1710,0.0,0.0,0.0,11.24,5.38,0.0
20150110:1810,0.0,0.0,0.0,10.19,5.03,0.0
20150110:1910,0.0,0.0,0.0,9.9,4.97,0.0
20150110:2010,0.0,0.0,0.0,8.61,4.34,0.0
20150110:2110,0.0,0.0,0.0,7.58,3.72,0.0
20150110:2210,0.0,0.0,0.0,7.03,3.38,0.0
20150110:2310,0.0,0.0,0.0,6.49,3.1,0.0
20150111:0010,0.0,0.0,0.0,5.92,2.97,0.0
20150111:0110,0.0,0.0,0.0,5.58,3.1,0.0
20150111:0210,0.0,0.0,0.0,5.25,3.66,0.0
20150111:0310,0.0,0.0,0.0,5.24,4.28,0.0
20150111:0410,0.0,0.0,0.0,5.19,4.83,0.0
20150111:0510,0.0,0.0,0.0,4.71,4.76,0.0
20150111:0610,0.0,0.0,0.0,4.27,5.17,0.0
20150111:0710,0.0,0.0,0.0,4.29,4.9,0.0
20150111:0810,6997.98,121.03,3.11,4.65,5.1,0.0
20150111:0910,29234.4,440.64,10.09,5.07,4.9,0.0
20150111:1010,38527.6,583.35,15.38,6.0,4.28,0.0
20150111:1110,48618.5,737.92,18.54,6.91,5.79,0.0
20150111:1210,34699.96,523.28,19.27,7.53,7.1,0.0
20150111:1310,19178.41,297.14,17.49,7.88,6.48,0.0
20150111:1410,31446.13,479.77,13.39,8.02,5.17,0.0
20150111:1510,5401.04,98.28,7.33,7.8,4.14,0.0
20150111:1610,0.0,0.0,0.0,7.3,4.07,0.0
20150111:1710,0.0,0.0,0.0,6.52,3.79,0.0
20150111:1810,0.0,0.0,0.0,6.5,3.52,0.0
20150111:1910,0.0,0.0,0.0,5.46,4.48,0.0
20150111:2010,0.0,0.0,0.0,5.4,4.76,0.0
20150111:2110,0.0,0.0,0.0,5.6,4.83,0.0
20150111:2210,0.0,0.0,0.0,5.83,4.76,0.0
20150111:2310,0.0,0.0,0.0,5.78,4.55,0.0
20150112:0010,0.0,0.0,0.0,5.66,4.69,0.0
20150112:0110,0.0,0.0,0.0,5.61,5.03,0.0
20150112:0210,0.0,0.0,0.0,5.85,5.24,0.0
20150112:0310,0.0,0.0,0.0,5.8,5.24,0.0
20150112:0410,0.0,0.0,0.0,5.84,5.38,0.0
20150112:0510,0.0,0.0,0.0,5.91,5.59,0.0
20150112:0610,0.0,0.0,0.0,5.75,5.66,0.0
20150112:0710,0.0,0.0,0.0,5.68,5.45,0.0
20150112:0810,714.98,22.09,3.19,5.91,5.59,0.0
20150112:0910,1729.0,40.12,10.19,6.3,5.86,0.0
20150112:1010,5925.51,105.18,15.5,6.46,5.45,0.0
20150112:1110,8981.25,150.07,18.69,6.61,5.52,0.0
20150112:1210,28062.51,425.7,19.44,7.05,5.86,0.0
20150112:1310,11857.86,192.02,17.67,7.61,5.72,0.0
20150112:1410,12987.25,208.69,13.57,8.18,5.1,0.0
20150112:1510,1705.47,40.05,7.52,8.51,6.0,0.0
20150112:1610,0.0,0.0,0.0,8.68,5.93,0.0
20150112:1710,0.0,0.0,0.0,8.72,6.0,0.0
20150112:1810,0.0,0.0,0.0,8.75,6.21,0.0
20150112:1910,0.0,0.0,0.0,8.39,6.34,0.0
20150112:2010,0.0,0.0,0.0,8.21,6.55,0.0
20150112:2110,0.0,0.0,0.0,8.02,6.69,0.0
20150112:2210,0.0,0.0,0.0,7.9,6.62,0.0
20150112:2310,0.0,0.0,0.0,7.96,6.48,0.0
20150113:0010,0.0,0.0,0.0,8.02,6.41,0.0
20150113:0110,0.0,0.0,0.0,8.07,6.34,0.0
20150113:0210,0.0,0.0,0.0,7.76,6.34,0.0
20150113:0310,0.0,0.0,0.0,7.59,6.55,0.0
20150113:0410,0.0,0.0,0.0,7.8,6.83,0.0
20150113:0510,0.0,0.0,0.0,8.32,6.97,0.0
20150113:0610,0.0,0.0,0.0,8.82,7.17,0.0
20150113:0710,0.0,0.0,0.0,10.0,7.59,0.0
20150113:0810,0.0,4.56,3.28,9.57,7.86,0.0
20150113:0910,7693.98,131.97,10.3,9.68,8.07,0.0
20150113:1010,4165.39,79.98,15.63,10.37,8.41,0.0
20150113:1110,7563.44,131.55,18.84,10.88,8.9,0.0
20150113:1210,3650.03,72.04,19.61,10.48,8.41,0.0
20150113:1310,6607.85,117.15,17.85,10.48,7.72,0.0
20150113:1410,9120.9,153.96,13.76,10.5,6.83,0.0
20150113:1510,1075.5,29.18,7.7,9.99,5.59,0.0
20150113:1610,0.0,0.0,0.0,9.54,4.41,0.0
20150113:1710,0.0,0.0,0.0,9.04,4.0,0.0
20150113:1810,0.0,0.0,0.0,8.42,4.14,0.0
20150113:1910,0.0,0.0,0.0,8.2,4.21,0.0
20150113:2010,0.0,0.0,0.0,7.99,4.76,0.0
20150113:2110,0.0,0.0,0.0,7.7,5.24,0.0
20150113:2210,0.0,0.0,0.0,7.3,5.79,0.0
20150113:2310,0.0,0.0,0.0,7.08,6.76,0.0
20150114:0010,0.0,0.0,0.0,6.94,7.72,0.0
